business_id,name,address,review_count,rating,zipcode,cuisine
1raNn0l3I4H9PcAJce69Sw,Sojourn,244 E 79th St,719,4.0,10075,Other
4Objcs7HXSGuzpb0SOa-Jw,Family Meal at Blue Hill,75 Washington Pl,1080,4.5,10011,Other
RYKGs45OjF-vlb2Ds2Jb_g,Izakaya Juraku,121 Ludlow St,210,4.5,10002,Other
4x_WyIOEdqxk01QH1HxYrw,The Mermaid Inn,96 2nd Ave,1325,4.0,10003,Other
QObHX0yR6zd0WfksRDbJTA,Becco,355 W 46th St,3147,3.5,10036,Italian
ryng69yOCoveA68KE6jl-Q,STK Steakhouse - Midtown,1114 Ave Of The Americas,1798,3.5,10036,Other
zv29TbzPs9-rD5ql0qWw5A,The Shadmoor,1066 2nd Ave,440,4.0,10022,Other
jYhbUh1TV7SCfPxjIhVpcg,Baar Baar,13 E 1st St,1238,4.0,10003,Indian
4KzqwQus39gXgrwrDXAjWA,Eléa,217 W 85th St,292,4.5,10024,Mediterranean
DPDznXYX5DBLBASKfxQ-DQ,Totto Ramen Hell's Kitchen,464 W 51st St,1203,4.0,10019,Other
VnjcxOUuZAeJMiDIU-7hUQ,Churrascaria Plataforma,316 W 49th St,1507,4.0,10019,Brazilian
QeqhV5xVRCD15ivQiPc2MQ,Bateaux New York,Chelsea Piers Pier 61,342,4.0,10011,Other
Gc7OVEIs4HodL4hw9U3C3w,Copinette,891 1st Ave,227,4.0,10022,French
ssGhu4n3emZ9kEPVf371IQ,Cookshop,156 10th Ave,2322,4.0,10011,Other
a0AvIH1UnFmqAXhZDEQtrw,Tocqueville,1 E 15th St,387,4.0,10003,French
8PhwiTru5teSaZ8C6hrIww,Casa Mono,52 Irving Pl,1409,4.0,10003,Spanish
JNkK9xp-hTWxsLrboPWC3Q,The Perfect Pint,123 W 45th St,448,4.0,10036,Other
mVN2G1c5bRtAsNlr2Tbx6Q,White Oak Tavern,21 Waverly Pl,450,4.0,10003,Other
jnHbdsqlTKlPcmJ8BCP9-g,Via Carota,51 Grove St,940,4.0,10014,Italian
h4VCnZ2aZ33mdenS_ZI7jQ,Mama Mia 44 SW,621 9th Ave,859,4.0,10036,Italian
TGP5gbAgml0IDRLGCpFnCw,PMF Pardon My French,103 Ave B,1126,4.0,10009,French
L3L6xDdrS8c67BLZROg79A,Smith & Wollensky,797 3rd Ave,1757,3.5,10022,Other
8bIXIStb1SVu1sXYfcMH5g,Ruby's Cafe - East Village,198 E 11th St,401,4.5,10003,Other
oB2cpcZNyjDklNqZN0n8hg,Sushi Ishikawa,419 E 74th St,337,4.5,10021,Japanese
LnMRZhKtOrW1eL04FiPYTg,Senza Gluten,206 Sullivan St,740,4.5,10012,Italian
j0Q-yyxS2WiL3foCJEV4eg,Dirt Candy,86 Allen St,817,4.0,10002,Other
6eqrk1wCQMww_ejze5gvsg,Forsythia,9 Stanton St,153,4.5,10002,Italian
